work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,Machine Learning Engineer,300000,Mid-level,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,300000,Mid-level,Full-time,In-person,United Kingdom
2023,Data Scientist,300000,Executive,Full-time,In-person,United States
2023,AI Engineer,300000,Mid-level,Full-time,Remote,Qatar
2023,Machine Learning Engineer,300000,Mid-level,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,In-person,United States
2023,Data Scientist,300000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,300000,Senior,Full-time,In-person,United States
2023,Data Engineer,300000,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Scientist,299500,Executive,Full-time,Remote,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Data Science Manager,299500,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,299000,Senior,Full-time,In-person,United States
2023,Data Scientist,297300,Senior,Full-time,Remote,United States
2023,ML Engineer,297300,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,297300,Senior,Full-time,Remote,United States
2023,Data Scientist,297300,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,297300,Senior,Full-time,Remote,United States
2023,Data Scientist,297300,Senior,Full-time,Remote,United States
2023,Data Science Manager,297300,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,297300,Senior,Full-time,Remote,United States
2023,Data Scientist,297300,Senior,Full-time,Remote,United States
2023,Data Science Manager,297300,Senior,Full-time,Remote,United States
2023,Data Scientist,297300,Senior,Full-time,Remote,United States
2023,Data Scientist,297300,Senior,Full-time,Remote,United States
2023,Machine Learning Engineer,297000,Senior,Full-time,In-person,United States
2023,Data Scientist,297000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,296400,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,296400,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,296400,Senior,Full-time,In-person,United States
2023,Data Scientist,296100,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,295500,Executive,Full-time,Remote,United States
2023,Data Scientist,295490,Senior,Full-time,In-person,United States
2023,Data Scientist,295490,Senior,Full-time,In-person,United States
2023,Data Scientist,295490,Senior,Full-time,In-person,United States
2023,Data Scientist,295490,Senior,Full-time,In-person,United States
2023,Data Scientist,295490,Senior,Full-time,In-person,United States
2023,Data Scientist,295490,Senior,Full-time,In-person,United States
2023,Data Scientist,295000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,294000,Senior,Full-time,In-person,United States
2023,Research Scientist,293000,Senior,Full-time,In-person,United States
2023,Research Engineer,293000,Senior,Full-time,In-person,United States
2023,Data Engineer,293000,Senior,Full-time,In-person,United States
2023,Machine Learning Scientist,292200,Senior,Full-time,Remote,United States
2023,Machine Learning Scientist,292000,Senior,Full-time,Remote,United States
2023,Data Engineer,291500,Senior,Full-time,In-person,United States
2023,Data Engineer,291500,Senior,Full-time,In-person,United States
2023,Data Engineer,290300,Senior,Full-time,In-person,United States
2023,Data Scientist,290000,Senior,Full-time,In-person,United States
2023,ML Engineer,290000,Senior,Full-time,Remote,United States
2023,Head of Data,290000,Executive,Full-time,Remote,United States
2023,Data Engineer,290000,Senior,Full-time,Remote,United States
2023,Analytics Engineer,289800,Senior,Full-time,In-person,United States
2023,Analytics Engineer,289800,Senior,Full-time,In-person,United Kingdom
2023,Analytics Engineer,289800,Senior,Full-time,In-person,United States
2023,Analytics Engineer,289800,Senior,Full-time,In-person,United States
2023,Data Operations Engineer,289120,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,289076,Senior,Full-time,In-person,United States
